"claims" "claim" "exposure" "age" "gender" "marital.status" "education" "region" "vehicle.age" "vehicle.body" "vehicle.use"
1 1 1 19 "Female" "Married" "12" "Lakeview" 4 "Sedan" "Private"
0 0 1 74 "Male" "Married" "18" "The Lanes" 21 "SUV" "Private"
0 0 0.75 31 "Female" "Married" "16" "Lakeview" 6 "SUV" "Commute"
0 0 0.5 25 "Female" "Single" "22" "Lakeview" 9 "Hatchback" "Commute"
2 1 1 21 "Male" "Married" "12" "The Chemistry" 7 "SUV" "Business"
0 0 1 17 "Male" "Married" "22" "Lakeview" 3 "SUV" "Commute"
0 0 0.75 32 "Male" "Married" "18" "Warrendale" 7 "Minibus" "Commute"
0 0 1 73 "Male" "Single" "12" "The Lanes" 24 "Panel Van" "Commute"
0 0 1 29 "Female" "Married" "12" "Bleachery" 2 "SUV" "Private"
0 0 1 22 "Female" "Married" "16" "Warrendale" 14 "Truck" "Commute"
0 0 1 62 "Male" "Married" "22" "Bleachery" 5 "Hatchback" "Private"
1 1 1 42 "Female" "Married" "16" "Bleachery" 7 "Hatchback" "Commute"
0 0 1 75 "Female" "Married" "16" "The Chemistry" 8 "Hatchback" "Private"
0 0 0.666666666666667 61 "Male" "Single" "18" "The Chemistry" 0 "Minibus" "Private"
0 0 1 27 "Female" "Married" "12" "Warrendale" 24 "Sedan" "Commute"
0 0 1 41 "Female" "Married" "12" "Piety Corner" 1 "Hatchback" "Private"
0 0 1 35 "Male" "Married" "18" "The Lanes" 8 "SUV" "Private"
0 0 0.25 42 "Female" "Married" "16" "The Lanes" 2 "SUV" "Commute"
0 0 1 40 "Female" "Married" "12" "Bleachery" 6 "Hatchback" "Commute"
0 0 1 42 "Female" "Married" "12" "Piety Corner" 4 "SUV" "Commute"
0 0 1 59 "Female" "Married" "12" "Highlands" 5 "Minibus" "Commute"
0 0 0.75 56 "Female" "Married" "12" "Bleachery" 20 "Panel Van" "Commute"
0 0 1 40 "Male" "Married" "16" "Piety Corner" 23 "Hatchback" "Private"
0 0 1 29 "Male" "Married" "18" "Lakeview" 4 "SUV" "Commute"
1 1 1 20 "Female" "Married" "22" "Piety Corner" 1 "SUV" "Business"
0 0 1 31 "Female" "Married" "12" "Warrendale" 0 "Hatchback" "Private"
0 0 1 35 "Male" "Married" "18" "Warrendale" 9 "SUV" "Commute"
0 0 1 31 "Female" "Married" "16" "Warrendale" 4 "Station Wagon" "Commute"
0 0 0.666666666666667 30 "Female" "Single" "18" "Warrendale" 2 "Sedan" "Commute"
